시도명,시군구명,법정읍면동명,읍면동아이디,SOC유형,SOC유형아이디,구분명,시설명,시설물 아이디,인허가일자,도로명주소,지번주소,관서명,지방청명,경찰서명,구분명,데이터갱신일자,업태구분명,위도,경도
경기도,김포시,장기동,"41570104",생활편의형SOC,CVNTL,파출소,장기 파출소,CVNTL_20_41570_00052,,경기도 김포시 청송로 36,경기도 김포시 장기동 1326,,경기남부청,김포,파출소,2022-07-11,,37.6483900000,126.6677600000
경기도,부천시,역곡동,"41190107",생활편의형SOC,CVNTL,파출소,역곡 파출소,CVNTL_20_41190_00077,,경기도 부천시 부일로711번길 29,경기도 부천시 역곡동 53-11,,경기남부청,부천원미,지구대,2022-07-11,,37.4861800000,126.8082400000
경기도,동두천시,광암동,"41250104",생활편의형SOC,CVNTL,파출소,광암 파출소,CVNTL_20_41250_00072,,경기도 동두천시 광암로 10,경기도 동두천시 광암동 495,,경기북부청,동두천,파출소,2022-07-11,,37.8948140000,127.0831500000
경기도,동두천시,지행동,"41250102",생활편의형SOC,CVNTL,파출소,송내 파출소,CVNTL_20_41250_00073,,경기도 동두천시 중앙로 157,경기도 동두천시 지행동 691-7,,경기북부청,동두천,지구대,2022-07-11,,37.8956300000,127.0520500000
경기도,부천시,원미동,"41190101",생활편의형SOC,CVNTL,파출소,원미 파출소,CVNTL_20_41190_00081,,경기도 부천시 원미로149번길 4,경기도 부천시 원미동 57,,경기남부청,부천원미,지구대,2022-07-11,,37.4961800000,126.7908700000
경기도,부천시,범박동,"41190112",생활편의형SOC,CVNTL,파출소,범박 파출소,CVNTL_20_41190_00083,,경기도 부천시 범안로 131,경기도 부천시 범박동 156,,경기남부청,부천소사,지구대,2022-07-11,,37.4701600000,126.8093640000
경기도,부천시,상동,"41190109",생활편의형SOC,CVNTL,파출소,상동 파출소,CVNTL_20_41190_00084,,경기도 부천시 상일로 99,경기도 부천시 상동 396-3,,경기남부청,부천원미,지구대,2022-07-11,,37.4917760000,126.7534300000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,파출소,계남 파출소,CVNTL_20_41190_00085,,경기도 부천시 조마루로 252,경기도 부천시 중동 1184-1,,경기남부청,부천원미,지구대,2022-07-11,,37.4978800000,126.7716700000
경기도,부천시,중동,"41190108",생활편의형SOC,CVNTL,파출소,중동 파출소,CVNTL_20_41190_00086,,경기도 부천시 석천로 203-16,경기도 부천시 중동 1032-1,,경기남부청,부천원미,지구대,2022-07-11,,37.5057640000,126.7625000000
경기도,수원시 권선구,구운동,"41113132",생활편의형SOC,CVNTL,파출소,서호 파출소,CVNTL_20_41113_00113,,경기도 수원시 권선구 구운로73번길 18-13,경기도 수원시 권선구 구운동 938,,경기남부청,수원서부,지구대,2022-07-11,,37.2807120000,126.9714360000
